date,category,net_worth,assets,real_estate,consumer_durables,corporate_equities_mutual_fund_shares,db_pension_entitlements,dc_pension_entitlements,private_businesses,other_assets,liabilities,home_mortgages,consumer_credit,other_liabilities
2004:Q4,Next9,36.6,33.4,27.1,21.6,35.6,49,42.8,29.6,32.7,16.7,18,8.5,34.4
2004:Q4,Next40,33.8,35.9,46.4,42.1,16.7,44.8,42,19.3,31,46.5,50.5,38.3,16.9
2004:Q4,Bottom50,2.4,7.1,12.8,22.1,0.9,2.3,5.2,1.4,4.7,31.1,26.4,51.4,13.1
2005:Q1,TopPt1,10.3,8.7,3.1,6.4,19.8,0.7,1.2,20.8,12.9,0.6,0.5,0.3,3.7
2005:Q1,RemainingTop1,16.7,14.8,10.4,7.7,27.1,3.5,9.2,28.6,18.3,5,4.6,1.4,30.2
2005:Q1,Next9,36.7,33.5,27.4,21.5,35.6,48.9,42.7,30.4,32.7,16.6,17.9,8.4,35.7
2005:Q1,Next40,33.8,35.8,46.1,42,16.6,44.7,41.7,18.7,31.3,46,49.7,37.9,17
2005:Q1,Bottom50,2.4,7.2,12.9,22.4,0.9,2.3,5.2,1.5,4.8,31.9,27.4,52,13.4
2005:Q2,TopPt1,10.5,8.9,3.1,6.6,20,0.8,1.2,21.4,13.1,0.6,0.5,0.3,4
2005:Q2,RemainingTop1,16.8,14.8,10.4,7.7,27.1,3.7,9.5,27.9,18.2,4.8,4.5,1.5,28.8
2005:Q2,Next9,36.8,33.6,27.8,21.1,35.7,48.8,42.6,31.1,32.7,16.8,18.1,8.4,36
2005:Q2,Next40,33.5,35.4,45.6,41.8,16.3,44.6,41.4,18.1,31.2,45.4,48.9,37.8,17.3
2005:Q2,Bottom50,2.4,7.2,13,22.7,0.9,2.2,5.2,1.5,4.8,32.3,28,52.1,13.8
2005:Q3,TopPt1,10.6,9,3.1,6.2,20.3,0.9,1.3,22,12.7,0.6,0.5,0.3,4.2
2005:Q3,RemainingTop1,16.8,14.8,10.3,7.9,27.1,3.8,9.8,27.2,17.9,4.7,4.4,1.5,27
2005:Q3,Next9,36.9,33.7,27.9,21.2,35.8,48.6,42.4,31.9,32.8,17.1,18.4,8.5,36.7
2005:Q3,Next40,33.3,35.2,45.4,41.7,15.9,44.5,41.3,17.4,31.6,44.9,48.2,37.8,17.7
2005:Q3,Bottom50,2.4,7.4,13.3,23,0.9,2.2,5.3,1.5,4.9,32.8,28.7,52,14.5
2005:Q4,TopPt1,10.7,9,3.1,5.9,20.5,1,1.3,22.2,12.8,0.6,0.4,0.2,4.6
2005:Q4,RemainingTop1,16.7,14.7,10.2,8.1,27.1,4,10,26.7,17.8,4.5,4.3,1.5,26.5
2005:Q4,Next9,36.9,33.7,27.9,21.3,35.8,48.5,42.3,32.5,32.8,17.3,18.6,8.5,37.2
2005:Q4,Next40,33.2,35,45.3,41.6,15.7,44.4,41.1,17,31.6,44.5,47.5,37.8,17.6
2005:Q4,Bottom50,2.5,7.5,13.5,23.2,0.9,2.2,5.3,1.6,5,33.2,29.2,51.9,14
2006:Q1,TopPt1,11.1,9.4,3,6,21.1,1.1,1.4,22.3,12.9,0.6,0.4,0.2,5
2006:Q1,RemainingTop1,16.9,14.9,10.2,8.1,27.1,4.2,10.2,26.3,17.5,4.4,4.1,1.6,24.2
2006:Q1,Next9,37.1,33.9,28.3,20.9,35.9,48.4,42.2,33.1,32.9,17.6,18.9,8.5,37.2
2006:Q1,Next40,32.5,34.4,44.9,41.4,15,44.3,40.9,16.6,31.7,44,46.8,37.8,18.3
2006:Q1,Bottom50,2.4,7.4,13.7,23.5,0.9,2.1,5.3,1.7,5,33.5,29.7,51.9,15.4
2006:Q2,TopPt1,11,9.3,3,5.7,21.1,1.2,1.4,22.6,12.9,0.6,0.4,0.2,5.3
2006:Q2,RemainingTop1,16.8,14.7,10.1,8.3,27.1,4.3,10.5,25.8,17.2,4.3,4,1.6,22.3
2006:Q2,Next9,37.2,34,28.3,21,35.9,48.2,42.1,33.6,33.1,17.8,19.2,8.5,37.3
2006:Q2,Next40,32.5,34.4,44.6,41.3,14.9,44.2,40.6,16.2,31.8,43.5,46.1,37.6,18.9
2006:Q2,Bottom50,2.4,7.6,14,23.7,0.9,2.1,5.4,1.7,5.1,33.9,30.3,52.1,16.3
2006:Q3,TopPt1,11.2,9.4,2.9,5.3,21.3,1.3,1.5,22.9,12.9,0.6,0.4,0.2,5.5
2006:Q3,RemainingTop1,16.9,14.7,10,8.5,27.1,4.5,10.7,25.3,17,4.1,3.9,1.6,20.5
2006:Q3,Next9,37.3,34.1,28.3,21.2,36,48.1,42,34.2,33.2,18,19.3,8.4,37.6
2006:Q3,Next40,32.3,34.1,44.5,41.1,14.7,44.1,40.5,15.8,31.8,43,45.5,37.4,19.3
2006:Q3,Bottom50,2.3,7.7,14.3,23.9,1,2.1,5.4,1.8,5.1,34.4,30.8,52.4,17.1
2006:Q4,TopPt1,11.4,9.6,2.9,5.1,21.7,1.4,1.5,23.1,12.7,0.6,0.4,0.2,5.8
2006:Q4,RemainingTop1,16.9,14.8,9.9,8.6,27.1,4.7,10.9,25,16.8,4.1,3.9,1.6,18.4
2006:Q4,Next9,37.5,34.2,28.4,21.1,36,48,41.9,34.7,33.3,18.1,19.5,8.5,37.1
2006:Q4,Next40,32,33.7,44.4,41,14.2,43.9,40.3,15.4,32,42.5,45,37.4,20.1
2006:Q4,Bottom50,2.2,7.7,14.4,24.2,1,2,5.4,1.9,5.2,34.7,31.2,52.4,18.6
2007:Q1,TopPt1,11.6,9.8,2.8,5.3,22,1.4,1.5,23.1,12.9,0.6,0.4,0.2,5.8
2007:Q1,RemainingTop1,17.1,14.9,9.9,8.7,27.1,4.8,11.1,24.7,16.5,3.9,3.8,1.6,16.8
2007:Q1,Next9,37.6,34.4,28.7,20.7,36.1,47.9,41.7,35.2,33.4,18.4,19.8,8.3,38.1
2007:Q1,Next40,31.6,33.3,44.1,40.9,13.8,43.8,40.2,15.2,31.9,42.1,44.5,37,20.2
2007:Q1,Bottom50,2.1,7.6,14.5,24.5,1,2,5.5,1.9,5.2,35,31.5,52.9,19.1
2007:Q2,TopPt1,11.8,9.9,2.8,5.2,22.2,1.5,1.6,23.2,13,0.6,0.4,0.2,5.6
2007:Q2,RemainingTop1,17.1,14.8,9.8,8.8,27.1,4.9,11.3,24.3,16,3.8,3.7,1.6,14.6
2007:Q2,Next9,37.9,34.6,28.9,20.5,36.1,47.9,41.7,35.7,33.8,18.6,20,8.3,38.4
2007:Q2,Next40,31.3,33,43.8,40.7,13.6,43.7,40,14.8,31.9,41.7,44,37,20.8
2007:Q2,Bottom50,2,7.7,14.7,24.7,1,2,5.5,2,5.3,35.3,31.9,52.9,20.6
2007:Q3,TopPt1,12,10,2.7,5,22.3,1.6,1.6,23.3,13.6,0.6,0.4,0.2,6.4
2007:Q3,RemainingTop1,17.1,14.8,9.8,8.9,27.1,5.1,11.5,24,16,3.7,3.6,1.6,13.7
2007:Q3,Next9,38,34.7,28.9,20.5,36.2,47.9,41.6,36.1,33.8,18.7,20.1,8.4,38.6
2007:Q3,Next40,31,32.7,43.6,40.6,13.4,43.5,39.9,14.5,31.4,41.3,43.5,36.9,20.9
2007:Q3,Bottom50,1.9,7.7,15,25,1,2,5.5,2.1,5.1,35.7,32.4,53,20.4
2007:Q4,TopPt1,11.9,9.9,2.8,5.3,22,1.6,1.6,22.9,13.7,0.6,0.4,0.2,6.4
2007:Q4,RemainingTop1,17,14.7,9.8,8.6,27.2,5.2,11.5,24.3,15.8,3.7,3.6,1.7,13.7
2007:Q4,Next9,38.3,34.9,29.1,20.4,36.3,47.7,42,35.9,34.5,18.6,20.1,8.4,37.4
2007:Q4,Next40,31.2,32.9,43.6,40.8,13.5,43.6,39.5,14.9,31,41.1,43.2,36.7,21.4
2007:Q4,Bottom50,1.7,7.6,14.7,24.9,1,1.9,5.5,2.1,5,36,32.7,52.9,21.1
2008:Q1,TopPt1,11.6,9.7,2.9,5.3,21.6,1.6,1.6,22,14,0.6,0.4,0.2,6.2
2008:Q1,RemainingTop1,17,14.6,9.8,8.3,27.2,5.3,11.6,24.7,15.8,3.7,3.6,1.8,13.5
2008:Q1,Next9,38.6,35,29.2,20.6,36.5,47.5,42.3,35.6,35,18.6,20.1,8.3,36.2
2008:Q1,Next40,31.4,33.1,43.4,41,13.8,43.7,39,15.4,30.4,40.8,43,36.3,21.9
2008:Q1,Bottom50,1.4,7.7,14.8,24.8,1,1.9,5.5,2.3,4.9,36.2,32.9,53.3,22.1
2008:Q2,TopPt1,11.5,9.5,2.9,5.1,21.3,1.6,1.6,21.7,13.9,0.7,0.5,0.3,6.4
2008:Q2,RemainingTop1,17,14.6,9.7,8.1,27.3,5.4,11.7,25,16.1,3.6,3.4,1.9,14.1
2008:Q2,Next9,38.7,35.1,29.1,21.1,36.6,47.4,42.5,35.4,35.1,18.8,20.4,8.4,36
2008:Q2,Next40,31.4,33.1,43.2,41.2,13.9,43.8,38.7,15.7,30,40.8,42.9,36.4,21.8
2008:Q2,Bottom50,1.5,7.7,15.1,24.6,0.9,1.9,5.5,2.3,4.8,36.1,32.7,53.1,21.6
2008:Q3,TopPt1,11.2,9.2,3,5.2,20.5,1.6,1.7,21.1,14,0.7,0.5,0.3,6.2
2008:Q3,RemainingTop1,17,14.5,9.7,7.9,27.4,5.5,11.8,25.4,16.5,3.7,3.5,2,13.5
2008:Q3,Next9,38.9,35.1,29.2,21.2,36.8,47.2,42.9,35.1,35.1,18.6,20.2,8.3,34.1
2008:Q3,Next40,31.8,33.4,43,41.3,14.4,43.8,38.1,16.1,29.7,40.4,42.6,35.9,22.7
2008:Q3,Bottom50,1.2,7.8,15.1,24.5,0.9,1.9,5.5,2.4,4.7,36.6,33.2,53.5,23.4
2008:Q4,TopPt1,10.7,8.8,3,5.4,19,1.6,1.8,20.3,14.2,0.7,0.5,0.3,8.2
2008:Q4,RemainingTop1,17,14.4,9.7,7.6,27.6,5.6,12.2,25.8,17.8,3.7,3.6,2.1,16.1
2008:Q4,Next9,38.9,34.9,29.3,21.1,37.2,47,43.1,34.8,34.3,18.3,20.1,8.2,32.6
2008:Q4,Next40,32.5,34,43,41.5,15.4,43.9,37.4,16.6,29.1,40.4,42.4,35.6,22.4
2008:Q4,Bottom50,1,7.9,14.9,24.4,0.8,1.9,5.5,2.5,4.6,36.9,33.5,53.8,20.7
2009:Q1,TopPt1,10.4,8.5,3.1,5.4,18.2,1.6,1.8,19.4,14.3,0.7,0.5,0.3,8.4
2009:Q1,RemainingTop1,17.1,14.5,9.7,7.4,27.8,5.7,12.3,26.4,18.4,3.8,3.6,2.2,16.8
2009:Q1,Next9,39,34.9,29.5,21.2,37.5,46.8,43.6,34.5,34.1,18,19.9,7.9,31.9
2009:Q1,Next40,32.8,34.2,42.9,41.7,15.9,44,36.9,17.2,28.7,40.1,42.1,34.9,22.5
2009:Q1,Bottom50,0.7,7.9,14.9,24.3,0.7,1.8,5.5,2.7,4.5,37.4,33.9,54.7,20.4
2009:Q2,TopPt1,10.3,8.5,3.2,5.3,19.2,1.6,1.8,18.1,13.6,0.7,0.5,0.3,8.3
2009:Q2,RemainingTop1,17.3,14.6,9.6,7.2,27.7,5.8,12,27,18.4,3.8,3.6,2.3,16.5
2009:Q2,Next9,39.2,35.1,29.5,21.5,37.5,46.7,44,34.1,34.4,18.1,20,7.8,30.5
2009:Q2,Next40,32.4,33.9,42.6,41.8,14.9,44.1,36.7,17.9,28.9,39.9,41.9,34.7,23.1
2009:Q2,Bottom50,0.7,7.9,15.1,24.1,0.8,1.8,5.5,2.8,4.6,37.5,34,54.9,21.6
2009:Q3,TopPt1,10.6,8.8,3.2,5.1,20,1.6,1.7,17.7,13.7,0.8,0.5,0.4,8.2
2009:Q3,RemainingTop1,17.5,14.9,9.6,7,27.6,5.9,11.8,27.3,18.5,3.9,3.6,2.4,16.3
2009:Q3,Next9,39.4,35.3,29.5,21.9,37.4,46.5,44.4,33.8,34.7,17.9,19.8,7.7,29.1
2009:Q3,Next40,31.8,33.3,42.4,42,14.1,44.2,36.6,18.2,28.5,39.6,41.7,34.3,23.7
2009:Q3,Bottom50,0.7,7.7,15.3,24,0.8,1.8,5.4,2.9,4.5,37.9,34.4,55.3,22.7
2009:Q4,TopPt1,10.5,8.7,3.3,5.3,20.1,1.6,1.7,17.2,13.4,0.8,0.5,0.4,7.9
2009:Q4,RemainingTop1,17.6,15,9.6,6.7,27.6,6,11.7,27.7,18.6,3.9,3.6,2.5,15.8
2009:Q4,Next9,39.6,35.5,29.7,21.9,37.6,46.3,44.9,33.5,34.9,17.9,19.9,7.6,28.3
2009:Q4,Next40,31.8,33.2,42.1,42.2,14,44.3,36.3,18.6,28.5,39.4,41.5,34,24.1
2009:Q4,Bottom50,0.6,7.6,15.2,23.9,0.8,1.8,5.4,3,4.6,38,34.5,55.6,23.8
2010:Q1,TopPt1,10.7,8.9,3.4,5.3,20.2,1.6,1.7,17.3,13.6,0.9,0.6,0.4,7.9
2010:Q1,RemainingTop1,17.6,15.1,9.6,6.5,27.6,6.1,11.6,27.8,18.8,4,3.6,2.6,16
2010:Q1,Next9,39.7,35.7,29.9,22,37.6,46.3,45.2,33.2,35,17.9,20,7.3,26.6
2010:Q1,Next40,31.5,32.9,42,42.3,13.7,44.3,36.1,18.8,28.2,39.1,41.4,33.4,25
2010:Q1,Bottom50,0.5,7.4,15.1,23.8,0.8,1.8,5.3,2.9,4.5,38.1,34.5,56.3,24.6
2010:Q2,TopPt1,10.6,8.8,3.5,5.4,19.6,1.5,1.7,17.9,13.8,0.9,0.6,0.4,7.7
2010:Q2,RemainingTop1,17.6,15,9.6,6.3,27.7,6.2,11.7,27.7,18.9,4,3.5,2.7,16
2010:Q2,Next9,39.8,35.8,30.1,22.2,37.9,46.4,45.7,33,35.3,18,20.1,7.3,25.8
2010:Q2,Next40,31.5,32.9,41.7,42.5,14,44.2,35.5,18.6,27.7,39,41.3,33.3,25.3
2010:Q2,Bottom50,0.5,7.5,15.2,23.6,0.8,1.7,5.3,2.8,4.4,38.1,34.5,56.4,25.1
2010:Q3,TopPt1,10.8,9,3.5,5.3,20.1,1.5,1.7,18.1,13.7,0.9,0.6,0.5,7.7
2010:Q3,RemainingTop1,17.7,15.2,9.6,6.1,27.6,6.2,11.6,27.7,18.9,4,3.5,2.7,15.8
2010:Q3,Next9,40,36,30,22.4,37.9,46.5,46,32.7,35.6,18,20.2,7.2,25.3
2010:Q3,Next40,31,32.4,41.5,42.7,13.6,44,35.4,18.7,27.4,38.8,41.1,33,25.4
2010:Q3,Bottom50,0.5,7.3,15.4,23.5,0.8,1.7,5.3,2.7,4.3,38.4,34.7,56.6,25.9
2010:Q4,TopPt1,11.1,9.3,3.5,5.7,20.6,1.4,1.6,18.7,13.6,0.9,0.6,0.5,7.2
2010:Q4,RemainingTop1,17.8,15.4,9.7,6.2,27.4,6.3,11.5,27.3,19,4,3.5,2.6,15.8
2010:Q4,Next9,40.1,36.2,30.3,22.1,37.7,46.6,45.7,33,35.6,18,20.2,7.6,26.2
2010:Q4,Next40,30.7,32.2,41.7,42.5,13.4,44,36,18.4,27.4,39,41.4,33.5,24.6
2010:Q4,Bottom50,0.4,7,14.8,23.5,0.8,1.7,5.2,2.6,4.3,38.1,34.2,55.8,26.2
2011:Q1,TopPt1,11.3,9.5,3.5,5.9,21,1.3,1.6,19.1,13.5,0.9,0.6,0.5,6.7
2011:Q1,RemainingTop1,17.9,15.5,9.8,6.3,27.2,6.4,11.5,26.9,19.1,3.9,3.5,2.5,15.6
2011:Q1,Next9,40,36.2,30.3,22,37.6,46.6,45.1,33.3,35.6,18.3,20.5,7.5,27.3
2011:Q1,Next40,30.5,32,41.7,42.3,13.4,44,36.6,18.1,27.5,39.2,41.9,33.1,23.7
2011:Q1,Bottom50,0.4,6.8,14.6,23.5,0.8,1.7,5.2,2.5,4.3,37.8,33.6,56.5,26.7
2011:Q2,TopPt1,11.4,9.6,3.5,6.4,21.1,1.2,1.6,19.6,13.5,0.8,0.5,0.5,6.4
2011:Q2,RemainingTop1,17.9,15.5,10,6.4,27.1,6.4,11.5,26.6,19,3.9,3.5,2.4,15.8
2011:Q2,Next9,39.9,36.2,30.5,21.6,37.5,46.7,44.7,33.6,35.6,18.4,20.7,7.5,28.1
2011:Q2,Next40,30.4,31.9,41.5,42.1,13.5,44.1,37.1,17.9,27.5,39.4,42.2,33.1,22.8
2011:Q2,Bottom50,0.4,6.8,14.4,23.6,0.8,1.7,5.1,2.4,4.3,37.5,33.1,56.5,26.9
2011:Q3,TopPt1,11.1,9.3,3.5,6.2,20.4,1.1,1.6,20.1,13.8,0.8,0.5,0.5,6.3
2011:Q3,RemainingTop1,17.7,15.3,10,6.5,26.9,6.5,11.7,26.1,19.2,3.9,3.5,2.2,16.2
2011:Q3,Next9,39.8,36.1,30.3,21.9,37.6,46.6,44.4,33.9,35.4,18.5,20.8,7.5,28.4
2011:Q3,Next40,31,32.5,41.7,41.9,14.3,44.1,37.2,17.6,27.3,39.6,42.6,33,22
2011:Q3,Bottom50,0.4,6.9,14.5,23.5,0.7,1.7,5.1,2.3,4.3,37.2,32.6,56.7,27.1
2011:Q4,TopPt1,11.3,9.5,3.5,6.5,20.8,1,1.6,20.7,13.6,0.8,0.5,0.5,6.2
2011:Q4,RemainingTop1,17.8,15.4,10.1,6.6,26.7,6.5,11.6,25.7,19.3,3.9,3.5,2.1,16.8
2011:Q4,Next9,39.7,36.1,30.3,21.6,37.5,46.7,43.9,34.2,35.3,18.5,20.9,7.6,28.5
2011:Q4,Next40,30.8,32.3,41.8,41.7,14.2,44.1,37.9,17.3,27.5,39.8,42.9,33.1,21.2
2011:Q4,Bottom50,0.4,6.7,14.2,23.5,0.8,1.7,5,2.2,4.4,37.1,32.1,56.7,27.4
2012:Q1,TopPt1,11.6,9.8,3.5,7,21.4,0.8,1.5,21,13.3,0.8,0.5,0.5,5.8
2012:Q1,RemainingTop1,17.9,15.6,10.3,6.7,26.6,6.6,11.4,25.3,19.4,3.8,3.5,1.9,16.7
2012:Q1,Next9,39.7,36.2,30.6,21.2,37.3,46.7,43.6,34.5,35.3,18.8,21.2,7.5,29.4
2012:Q1,Next40,30.4,32,41.7,41.5,13.9,44.2,38.4,17.1,27.6,39.9,43.3,32.8,20.4
2012:Q1,Bottom50,0.4,6.5,13.8,23.6,0.8,1.7,5,2.1,4.4,36.7,31.5,57.3,27.7
2012:Q2,TopPt1,11.6,9.8,3.6,7,21.4,0.8,1.5,21.6,13.5,0.7,0.5,0.5,5.6
2012:Q2,RemainingTop1,17.8,15.5,10.4,6.8,26.4,6.6,11.6,24.9,19.4,3.8,3.5,1.8,17.1
2012:Q2,Next9,39.6,36.1,30.6,21.3,37.3,46.7,43,34.8,35.4,18.9,21.4,7.6,30
2012:Q2,Next40,30.4,32.1,41.6,41.3,14.2,44.2,39,16.7,27.4,40.2,43.7,32.8,19.5
2012:Q2,Bottom50,0.5,6.5,14,23.6,0.8,1.7,4.9,2,4.3,36.4,31,57.3,27.8
2012:Q3,TopPt1,11.8,10,3.6,7.1,21.7,0.7,1.5,22.3,13.5,0.7,0.4,0.5,5.3
2012:Q3,RemainingTop1,17.9,15.6,10.4,7,26.2,6.7,11.5,24.4,19.6,3.8,3.5,1.7,17.2
2012:Q3,Next9,39.5,36.1,30.5,21.2,37.1,46.7,42.6,35,35.2,18.8,21.4,7.7,30.6
2012:Q3,Next40,30.3,31.9,41.7,41.1,14.2,44.2,39.6,16.3,27.4,40.3,44,32.7,18.7
2012:Q3,Bottom50,0.6,6.4,13.8,23.6,0.8,1.7,4.9,1.9,4.3,36.4,30.6,57.5,28.1
2012:Q4,TopPt1,11.8,10,3.6,7.3,21.8,0.6,1.5,22.9,13.4,0.7,0.4,0.5,5.2
2012:Q4,RemainingTop1,17.8,15.5,10.5,7.1,26.1,6.7,11.5,24,19.5,3.7,3.4,1.5,17.9
2012:Q4,Next9,39.4,36.1,30.5,21.2,37.1,46.7,42.1,35.3,35.4,19.1,21.8,7.9,31
2012:Q4,Next40,30.3,31.9,41.8,40.9,14.3,44.3,40.1,16.1,27.4,40.6,44.5,33,17.6
2012:Q4,Bottom50,0.7,6.4,13.6,23.6,0.8,1.7,4.8,1.8,4.4,35.9,29.8,57.2,28.4
2013:Q1,TopPt1,12,10.3,3.6,7.6,22.4,0.4,1.5,23.4,13,0.6,0.4,0.4,4.8
2013:Q1,RemainingTop1,17.8,15.7,10.7,7.2,26,6.8,11.4,23.6,19.6,3.9,3.7,1.4,17.7
2013:Q1,Next9,39.4,36.2,30.7,20.9,36.9,46.8,41.8,35.6,35.4,18.8,21.3,7.6,31.7
2013:Q1,Next40,30.1,31.7,41.9,40.7,14,44.2,40.6,15.8,27.6,40.5,44.7,32.5,17
2013:Q1,Bottom50,0.6,6.2,13.2,23.6,0.8,1.7,4.8,1.7,4.4,36.2,30,58.1,28.8
2013:Q2,TopPt1,12,10.3,3.7,7.7,22.5,0.3,1.4,24.2,12.5,0.6,0.4,0.4,4.5
2013:Q2,RemainingTop1,17.7,15.5,10.7,7.3,25.8,6.8,11.4,23.1,19.4,3.9,3.7,1.3,17.7
2013:Q2,Next9,39.4,36.2,30.6,20.9,36.8,47,41.3,35.9,35.6,18.9,21.5,7.8,32.1
2013:Q2,Next40,30.2,31.8,41.8,40.5,14.1,44.1,41.2,15.4,27.8,40.7,45,32.6,16.4
2013:Q2,Bottom50,0.8,6.2,13.2,23.6,0.8,1.8,4.7,1.5,4.6,35.9,29.5,58,29.3
2013:Q3,TopPt1,12.1,10.4,3.7,7.6,22.8,0.2,1.4,24.9,12.4,0.5,0.3,0.4,4.2
2013:Q3,RemainingTop1,17.6,15.5,10.8,7.5,25.7,6.7,11.2,22.6,19.5,3.8,3.7,1.1,18.1
2013:Q3,Next9,39.3,36.2,30.4,21,36.8,47.2,41,36.1,35.6,19,21.6,7.8,32.9
2013:Q3,Next40,30.1,31.7,42,40.3,14,44.1,41.7,15,27.9,40.9,45.4,32.5,15.4
2013:Q3,Bottom50,0.9,6.1,13.2,23.5,0.8,1.8,4.6,1.4,4.6,35.7,29,58.1,29.4
2013:Q4,TopPt1,12.2,10.5,3.7,7.7,23,0.2,1.5,25.1,12.1,0.6,0.3,0.4,3.9
2013:Q4,RemainingTop1,17.7,15.6,10.8,7.5,26,6.5,11.1,23.2,19.4,3.9,3.8,1.3,16
2013:Q4,Next9,39.4,36.3,30.4,20.9,36.6,47.7,41.6,35.5,35.7,19,21.5,7.9,32.8
2013:Q4,Next40,29.9,31.6,42.2,40.5,13.7,43.8,41.2,14.9,28.1,41.1,45.7,32.9,17.3
2013:Q4,Bottom50,0.9,6,12.9,23.5,0.8,1.7,4.6,1.4,4.7,35.4,28.7,57.5,30
2014:Q1,TopPt1,12.3,10.6,3.7,8,23.1,0.3,1.6,25,12.1,0.6,0.4,0.4,3.8
2014:Q1,RemainingTop1,17.8,15.8,10.9,7.4,26.2,6.2,11,23.9,19.4,4,3.9,1.3,15.6
2014:Q1,Next9,39.4,36.4,30.6,20.5,36.5,48.1,42.1,34.9,35.8,19,21.5,7.7,32.8
2014:Q1,Next40,29.6,31.3,42.2,40.6,13.4,43.7,40.8,14.8,28,41.3,46.1,33,17.8
2014:Q1,Bottom50,0.9,5.9,12.6,23.4,0.8,1.7,4.6,1.4,4.6,35.1,28.2,57.5,30
2014:Q2,TopPt1,12.5,10.8,3.7,8.2,23.3,0.3,1.6,25.3,12,0.6,0.4,0.4,3.8
2014:Q2,RemainingTop1,17.9,16,10.9,7.3,26.5,6,10.9,24.4,19.4,4.1,3.9,1.5,15.4
2014:Q2,Next9,39.3,36.4,30.6,20.3,36.3,48.5,42.6,34.3,35.9,19,21.5,7.9,32.7
2014:Q2,Next40,29.3,31,42.2,40.8,13.1,43.5,40.4,14.7,28.1,41.7,46.5,33.4,18.1
2014:Q2,Bottom50,1,5.8,12.6,23.4,0.8,1.7,4.5,1.4,4.6,34.7,27.6,56.8,30
2014:Q3,TopPt1,12.5,10.8,3.7,8.4,23.3,0.3,1.7,25.5,12,0.6,0.4,0.5,4.1
2014:Q3,RemainingTop1,17.9,16,11,7.2,26.7,5.7,10.8,24.9,19.4,4.1,4,1.5,16.4
2014:Q3,Next9,39.3,36.4,30.6,20,36.2,48.9,42.9,33.7,36,18.8,21.5,7.9,32.4
2014:Q3,Next40,29.2,31.1,42.3,41,13.1,43.4,40.1,14.5,28,42.1,46.9,33.7,17.5
2014:Q3,Bottom50,1,5.8,12.3,23.3,0.8,1.7,4.5,1.3,4.6,34.5,27.2,56.4,29.7
2014:Q4,TopPt1,12.6,10.9,3.7,8.8,23.4,0.3,1.8,25.7,11.8,0.6,0.4,0.5,4.1
2014:Q4,RemainingTop1,18.1,16.1,11.1,7.1,26.9,5.5,10.8,25.4,19.5,4.1,4,1.6,16.5
2014:Q4,Next9,39.4,36.5,30.8,19.7,36.1,49.3,43.3,33.2,36,18.7,21.5,8,32.1
2014:Q4,Next40,29,30.9,42.4,41.1,12.9,43.3,39.7,14.4,28,42.4,47.3,34.1,17.7
2014:Q4,Bottom50,1,5.6,12,23.3,0.8,1.6,4.4,1.3,4.6,34.1,26.8,55.8,29.7
2015:Q1,TopPt1,12.6,11,3.7,9,23.4,0.4,1.9,25.8,11.8,0.6,0.4,0.5,4.1
2015:Q1,RemainingTop1,18.1,16.2,11.2,7.1,27.1,5.2,10.7,25.8,19.4,4.2,4.1,1.7,16.4
2015:Q1,Next9,39.3,36.5,30.9,19.4,36,49.7,43.7,32.7,36.1,18.6,21.4,7.8,31.8
2015:Q1,Next40,28.9,30.8,42.5,41.3,12.7,43.1,39.4,14.3,28.1,42.7,47.7,34,18.2
2015:Q1,Bottom50,1,5.6,11.8,23.3,0.8,1.6,4.4,1.3,4.6,33.9,26.4,56,29.6
2015:Q2,TopPt1,12.7,11,3.7,9.3,23.5,0.4,1.9,26,11.6,0.7,0.4,0.5,4
2015:Q2,RemainingTop1,18.1,16.2,11.2,6.9,27.2,5,10.6,26.2,19.5,4.3,4.2,1.8,16.3
2015:Q2,Next9,39.4,36.5,31,19.1,35.9,50,44.1,32.3,36.1,18.5,21.3,7.9,31.5
2015:Q2,Next40,28.8,30.7,42.4,41.4,12.6,43,39,14.2,28.1,42.9,48,34.4,18.7
2015:Q2,Bottom50,1.1,5.5,11.6,23.2,0.7,1.6,4.3,1.3,4.6,33.6,26,55.4,29.4
2015:Q3,TopPt1,12.5,10.8,3.7,9.1,23.3,0.4,2,26.1,11.8,0.7,0.5,0.5,4
2015:Q3,RemainingTop1,18.1,16.1,11.2,6.9,27.5,4.8,10.6,26.6,19.6,4.4,4.3,1.9,16.6
2015:Q3,Next9,39.4,36.4,30.7,19.2,35.8,50.4,44.5,31.9,36.2,18.4,21.3,7.9,31.2
2015:Q3,Next40,29,31,42.7,41.6,12.8,42.9,38.5,14.1,27.8,43.2,48.3,34.6,19.1
2015:Q3,Bottom50,1.1,5.6,11.6,23.1,0.7,1.5,4.3,1.3,4.5,33.4,25.7,55.1,29.1
2015:Q4,TopPt1,12.5,10.9,3.7,9.1,23.4,0.5,2.1,26.1,11.6,0.7,0.5,0.5,4
2015:Q4,RemainingTop1,18.1,16.2,11.2,6.9,27.6,4.5,10.5,27.1,19.5,4.4,4.3,2,17
2015:Q4,Next9,39.3,36.4,30.6,19.2,35.7,50.8,45,31.4,36.1,18.4,21.3,7.7,30.5
2015:Q4,Next40,28.9,30.9,42.9,41.8,12.6,42.7,38.2,14.1,28.1,43.5,48.6,34.6,19.8
2015:Q4,Bottom50,1.2,5.6,11.5,23.1,0.7,1.5,4.2,1.3,4.6,33,25.3,55.2,28.7
